Fecha,Encuestador,Departamento,Municipio,Vereda o Corregimiento,Dirección,Documento,Teléfono,Fecha en que obtuvo el filtro,Fuente donde toma el agua,¿Por qué usas el filtro de arcilla?,¿Cuánto tiempo dura el agua almacenada? (días),¿Cuántas veces al día recarga el filtro?,¿Qué miembro de la familia recarga el filtro?,¿En qué emplea el agua del filtro?,¿Qué cambios ha notado con el filtro?,Percepción del agua después de recibir el filtro,¿Qué opina del sabor del agua?,¿El agua presenta color?,¿El agua presenta olor?,¿Han disminuido las enfermedades por agua?,¿Han disminuido los gastos por agua apta?,¿Cuánto gasta actualmente?,¿Cada cuánto realiza mantenimiento?,Productos limpieza (arcilla),Productos limpieza (plástico),¿Conoce vida útil de la arcilla?,¿Sabe dónde conseguir repuestos?,¿El filtro está en un lugar estable y/o seguro?,¿El filtro está ensamblado y tapado?,¿El filtro está limpio externamente?,¿Lavado de manos previo a la manipulación?,Manipulación adecuada de la arcilla,Limpieza del tanque (sin sedimentos),Limpieza de la vasija (sin sedimentos),¿Se evidencian fisuras en la arcilla?,¿La vasija presenta niveles de agua que imposibiliten su manipulación?,¿Cuenta con instalación de lavado de manos?,¿Dispone de jabón para lavado de manos,Observaciones,Timestamp (ms),Latitud,Altitud,Aprobado,Creado En,GPS
06/03/2025,Christian Frank,Valle del Cauca,Bolívar,CoV-LA PLAYA,Mz 3 Casa 7,1110287,3113135130,09/05/2025,Naciente,Siempre ha sido así,8,1,Abuelo,Riego y consumo,Hay menos sedimentos,Un poco turbia,Regular,Si,Si,Si,Si,75000,40,Jabon,Detergente,Si,No,No,Si,No,Si,No,Si,No,Si,Si,Si,Si,Hepatitis,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Juan Esteban,Valle del Cauca,Bolívar,CoV-BUENOS AIRES,Mz 3 Casa 7,1110288,3601864527,0000-00-00,Pozo,Es mas Sencillo,7,0,Mama,Solo consumo,No nota cambios,Un poco turbia,Buena,Si,Si,No,Si,20000,49,Jabon,Detergente,No,No,No,Si,Si,No,Si,No,Si,No,No,Si,No,Vómito,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Ana María,Valle del Cauca,Bolívar,CoV-LA PLAYA,Calle 34#09-01,1110289,3230577899,11/06/2025,Grifo,Es mas Sencillo,4,4,Abuelo,Doméstico y consumo,Ahora sale con menos olor,Un poco turbia,Buena,Si,No,No,No,15000,11,Jabon,Detergente,Si,Si,Si,No,No,No,Si,No,No,No,No,No,No,Vómito,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
11/09/2025,María Fernanda,Valle del Cauca,Bolívar,CoV-EL BOSQUE,Vereda sin dirección,1110310,3545907620,04/11/2025,Grifo,Es mas Sencillo,3,4,Hijo,Doméstico y consumo,Es mas limpio el agua,Clara y buena,Mala,Si,No,Si,No,50000,59,Jabon,Jabon,No,Si,No,Si,Si,No,Si,Si,Si,Si,Si,Si,No,Diarrea,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
03/11/2025,Carlos Pérez,Valle del Cauca,Bolívar,CoV-LA PLAYA,Mz 3 Casa 7,1110319,3206473172,06/01/2025,Pozo,Siempre ha sido así,4,1,Mama,Doméstico y consumo,Ahora sale con menos olor,Un poco turbia,Regular,Si,Si,Si,Si,65000,26,Jabon,Jabon,No,No,No,No,Si,No,No,Si,No,Si,No,Si,No,Ninguna,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,María Fernanda,Valle del Cauca,Bolívar,CoV-EL JARDÍN,Carrera 8#10-05,1110325,3510027474,11/06/2025,Grifo,Queda más cerca,5,0,Padre,Riego y consumo,No nota cambios,Clara y buena,Mala,Si,No,No,No,10000,43,Jabon,Jabon,No,No,No,No,Si,Si,Si,No,Si,Si,Si,Si,No,Diarrea,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
04/08/2025,Juan Esteban,Valle del Cauca,Bolívar,CoV-EL BOSQUE,Calle 12#03-21,1110327,3152065818,0000-00-00,Grifo,Es mas Sencillo,3,2,Mama,Solo consumo,Hay menos sedimentos,Clara y buena,Mala,Si,Si,No,No,40000,60,Jabon,Detergente,No,Si,Si,Si,No,Si,Si,No,Si,Si,Si,Si,No,Diarrea,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Ana María,Valle del Cauca,Bolívar,CoV-EL BOSQUE,Mz 3 Casa 7,1110329,3987928635,0000-00-00,Grifo,Es más económica,8,2,Padre,Cosas Domesticas,No nota cambios,Un poco turbia,Buena,No,Si,Si,No,85000,21,Jabon,Jabon,No,No,Si,No,Si,No,No,No,No,Si,Si,No,No,Diarrea,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Ana María,Valle del Cauca,Bolívar,CoV-CAMPOALEGRE,Vereda sin dirección,1110342,3483528806,01/03/2025,Grifo,Siempre ha sido así,2,3,Abuelo,Riego y consumo,Hay menos sedimentos,Un poco turbia,Mala,No,Si,No,Si,55000,29,Jabon,Jabon,No,No,Si,No,No,Si,Si,No,No,Si,No,No,No,Hepatitis,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Christian Frank,Valle del Cauca,Bolívar,CoV-LA PLAYA,Carrera 8#10-05,1110343,3454311629,04/12/2025,Grifo,Es mas Sencillo,3,4,Abuelo,Solo consumo,No nota cambios,Un poco turbia,Regular,No,Si,Si,No,50000,52,Jabon,Detergente,No,Si,No,Si,No,Si,No,No,No,Si,Si,Si,No,Hepatitis,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Juan Esteban,Valle del Cauca,Bolívar,CoV-BUENOS AIRES,Calle 12#03-21,1110344,3642934617,02/10/2025,Pozo,Siempre ha sido así,5,4,Hijo,Doméstico y consumo,No nota cambios,Un poco turbia,Buena,No,No,Si,Si,80000,36,Jabon,Jabon,Si,No,No,No,Si,Si,No,No,No,Si,No,No,Si,Diarrea,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Christian Frank,Valle del Cauca,Bolívar,CoV-EL BOSQUE,Carrera 8#10-05,1110352,3853694479,01/01/2025,Pozo,Es mas Sencillo,5,4,Mama,Doméstico y consumo,Ahora sale con menos olor,Un poco turbia,Buena,No,No,No,Si,80000,51,Jabon,Detergente,Si,Si,No,No,No,No,No,Si,Si,No,No,Si,Si,Diarrea,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Juan Esteban,Valle del Cauca,Bolívar,CoV-CAMPOALEGRE,Calle 34#09-01,1110354,3750600784,01/04/2025,Grifo,Queda más cerca,7,4,Abuelo,Doméstico y consumo,Es mas limpio el agua,Clara y buena,Buena,No,No,No,No,70000,56,Jabon,Detergente,No,Si,No,No,No,No,No,Si,Si,No,No,No,Si,Ninguna,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
05/02/2025,Christian Frank,Valle del Cauca,Bolívar,CoV-CAMPOALEGRE,Carrera 8#10-05,1110368,3136706397,0000-00-00,Grifo,Queda más cerca,2,1,Hijo,Solo consumo,No nota cambios,Clara y buena,Regular,No,Si,No,Si,45000,49,Jabon,Jabon,No,No,Si,Si,No,No,No,No,Si,Si,Si,No,No,Vómito,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
11/02/2025,Ana María,Valle del Cauca,Bolívar,CoV-LA PLAYA,Mz 3 Casa 7,1110372,3782669481,11/04/2025,Grifo,Siempre ha sido así,5,3,Hijo,Riego y consumo,No nota cambios,Clara,Regular,No,Si,Si,No,25000,14,Jabon,Jabon,Si,No,No,No,No,Si,Si,Si,Si,No,Si,Si,No,Hepatitis,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
09/07/2025,Laura Gómez,Valle del Cauca,Bolívar,CoV-BUENOS AIRES,Mz 3 Casa 7,1110385,3790737656,02/09/2025,Pozo,Es más económica,4,3,Padre,Solo consumo,Es mas limpio el agua,Clara,Regular,Si,Si,No,No,50000,32,Jabon,Jabon,Si,No,No,Si,No,No,No,Si,Si,Si,No,Si,Si,Ninguna,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Ana María,Valle del Cauca,Bolívar,CoV-EL JARDÍN,Mz 3 Casa 7,1110387,3800874442,0000-00-00,Pozo,Siempre ha sido así,2,2,Mama,Solo consumo,Ahora sale con menos olor,Un poco turbia,Buena,No,Si,Si,Si,25000,44,Jabon,Jabon,Si,Si,No,No,No,Si,Si,Si,No,Si,No,No,Si,Diarrea,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
11/03/2025,Laura Gómez,Valle del Cauca,Bolívar,CoV-EL JARDÍN,Mz 3 Casa 7,1110389,3753390835,09/09/2025,Grifo,Queda más cerca,2,2,Mama,Riego y consumo,Hay menos sedimentos,Clara,Mala,No,Si,No,No,30000,57,Jabon,Detergente,Si,No,Si,Si,Si,Si,No,No,No,Si,Si,No,No,Ninguna,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Laura Gómez,Valle del Cauca,Bolívar,CoV-EL JARDÍN,Carrera 8#10-05,1110390,3362243714,0000-00-00,Grifo,Queda más cerca,4,4,Mama,Cosas Domesticas,Hay menos sedimentos,Un poco turbia,Buena,No,No,Si,No,50000,44,Jabon,Detergente,No,Si,No,No,Si,No,Si,Si,Si,No,No,No,No,Vómito,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
03/10/2025,Laura Gómez,Valle del Cauca,Bolívar,CoV-LA PLAYA,Mz 3 Casa 7,1110391,3221017896,01/08/2025,Grifo,Es mas Sencillo,5,2,Padre,Solo consumo,Hay menos sedimentos,Clara,Mala,No,Si,Si,Si,85000,31,Jabon,Detergente,Si,Si,Si,Si,Si,Si,No,Si,No,Si,No,No,No,Hepatitis,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Juan Esteban,Valle del Cauca,Bolívar,CoV-BUENOS AIRES,Calle 34#09-01,1110400,3950690226,0000-00-00,Naciente,Queda más cerca,3,0,Abuelo,Doméstico y consumo,Ahora sale con menos olor,Un poco turbia,Buena,No,No,Si,Si,80000,25,Jabon,Detergente,No,Si,Si,Si,Si,Si,Si,Si,Si,No,No,Si,Si,Vómito,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
01/04/2025,Laura Gómez,Valle del Cauca,Bolívar,CoV-EL BOSQUE,Carrera 8#10-05,1110401,3233893308,05/10/2025,Grifo,Es más económica,2,3,Mama,Cosas Domesticas,No nota cambios,Clara,Regular,No,Si,Si,Si,50000,43,Jabon,Detergente,Si,No,Si,Si,Si,Si,Si,Si,Si,Si,No,No,Si,Vómito,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
06/02/2025,Laura Gómez,Valle del Cauca,Bolívar,CoV-LA PLAYA,Carrera 8#10-05,1110403,3687502890,04/12/2025,Naciente,Es más económica,6,0,Abuelo,Doméstico y consumo,No nota cambios,Clara y buena,Mala,Si,No,Si,No,80000,28,Jabon,Detergente,No,Si,Si,Si,No,Si,Si,No,No,Si,Si,Si,Si,Ninguna,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Christian Frank,Valle del Cauca,Bolívar,CoV-EL JARDÍN,Calle 34#09-01,1110406,3879418756,06/05/2025,Naciente,Es más económica,5,1,Abuelo,Cosas Domesticas,Hay menos sedimentos,Clara y buena,Regular,Si,No,Si,Si,40000,14,Jabon,Jabon,No,No,Si,No,Si,No,No,No,No,Si,Si,Si,Si,Diarrea,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,María Fernanda,Valle del Cauca,Bolívar,CoV-CAMPOALEGRE,Carrera 8#10-05,1110410,3830144896,0000-00-00,Grifo,Queda más cerca,2,4,Hijo,Doméstico y consumo,Ahora sale con menos olor,Clara y buena,Buena,No,No,No,No,15000,53,Jabon,Detergente,No,No,Si,No,Si,No,Si,No,No,Si,Si,No,No,Vómito,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Christian Frank,Valle del Cauca,Bolívar,CoV-BUENOS AIRES,Calle 34#09-01,1110413,3320971402,0000-00-00,Grifo,Siempre ha sido así,2,3,Hijo,Solo consumo,Hay menos sedimentos,Un poco turbia,Mala,No,No,Si,No,50000,37,Jabon,Jabon,Si,Si,Si,No,Si,No,No,Si,No,Si,Si,Si,No,Ninguna,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Laura Gómez,Valle del Cauca,Bolívar,CoV-EL BOSQUE,Calle 12#03-21,1110417,3965047350,0000-00-00,Pozo,Es mas Sencillo,4,2,Mama,Solo consumo,Hay menos sedimentos,Un poco turbia,Regular,No,Si,Si,No,80000,11,Jabon,Detergente,No,Si,Si,No,Si,No,Si,Si,No,Si,No,No,Si,Vómito,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Ana María,Valle del Cauca,Bolívar,CoV-EL BOSQUE,Mz 3 Casa 7,1110423,3745560615,05/05/2025,Pozo,Siempre ha sido así,5,3,Mama,Solo consumo,Ahora sale con menos olor,Un poco turbia,Mala,No,No,No,No,55000,16,Jabon,Detergente,No,Si,Si,Si,Si,Si,No,Si,No,Si,Si,Si,No,Hepatitis,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
09/07/2025,Ana María,Valle del Cauca,Bolívar,CoV-LA PLAYA,Carrera 8#10-05,1110428,3578112045,0000-00-00,Grifo,Siempre ha sido así,5,4,Mama,Solo consumo,Es mas limpio el agua,Clara,Buena,Si,No,Si,Si,40000,38,Jabon,Detergente,No,No,No,No,No,No,Si,No,No,No,Si,Si,Si,Diarrea,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
11/12/2025,Ana María,Valle del Cauca,Bolívar,CoV-EL BOSQUE,Calle 12#03-21,1110436,3853336489,03/10/2025,Pozo,Queda más cerca,2,2,Padre,Solo consumo,No nota cambios,Clara,Buena,No,Si,No,No,45000,59,Jabon,Jabon,No,Si,No,Si,No,Si,No,Si,No,Si,No,Si,No,Diarrea,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Carlos Pérez,Valle del Cauca,Bolívar,CoV-EL JARDÍN,Vereda sin dirección,1110447,3140370806,0000-00-00,Pozo,Queda más cerca,2,4,Mama,Cosas Domesticas,No nota cambios,Clara y buena,Mala,No,Si,No,Si,20000,31,Jabon,Jabon,Si,Si,Si,No,Si,No,Si,No,Si,No,Si,No,Si,Diarrea,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Laura Gómez,Valle del Cauca,Bolívar,CoV-LA PLAYA,Vereda sin dirección,1110449,3499783871,0000-00-00,Grifo,Es más económica,6,2,Abuelo,Doméstico y consumo,Hay menos sedimentos,Clara,Regular,No,Si,Si,Si,95000,23,Jabon,Detergente,Si,Si,Si,Si,Si,Si,No,No,No,Si,Si,No,Si,Hepatitis,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
04/10/2025,Juan Esteban,Valle del Cauca,Bolívar,CoV-BUENOS AIRES,Carrera 8#10-05,1110453,3605469698,0000-00-00,Naciente,Es mas Sencillo,5,4,Abuelo,Doméstico y consumo,Es mas limpio el agua,Clara,Mala,Si,Si,Si,No,75000,35,Jabon,Detergente,Si,Si,No,No,Si,Si,No,Si,Si,Si,Si,No,No,Ninguna,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Ana María,Valle del Cauca,Bolívar,CoV-CAMPOALEGRE,Vereda sin dirección,1110454,3854643849,0000-00-00,Naciente,Queda más cerca,3,3,Abuelo,Cosas Domesticas,Es mas limpio el agua,Clara,Regular,No,Si,No,No,80000,14,Jabon,Detergente,No,No,Si,No,Si,No,Si,No,No,Si,Si,No,Si,Diarrea,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Ana María,Valle del Cauca,Bolívar,CoV-EL BOSQUE,Carrera 8#10-05,1110455,3568856926,0000-00-00,Naciente,Es más económica,7,0,Abuelo,Riego y consumo,No nota cambios,Un poco turbia,Buena,Si,Si,No,Si,35000,22,Jabon,Detergente,No,No,No,Si,Si,Si,No,Si,No,Si,No,Si,No,Vómito,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Christian Frank,Valle del Cauca,Bolívar,CoV-CAMPOALEGRE,Mz 3 Casa 7,1110472,3194420911,05/06/2025,Naciente,Queda más cerca,8,1,Mama,Cosas Domesticas,Hay menos sedimentos,Un poco turbia,Mala,No,Si,Si,Si,75000,25,Jabon,Detergente,Si,No,No,No,Si,No,No,No,No,Si,Si,No,Si,Hepatitis,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
10/05/2025,María Fernanda,Valle del Cauca,Bolívar,CoV-CAMPOALEGRE,Calle 34#09-01,1110473,3776404485,01/01/2025,Pozo,Queda más cerca,3,3,Mama,Solo consumo,Es mas limpio el agua,Un poco turbia,Mala,Si,No,Si,No,45000,33,Jabon,Jabon,Si,Si,No,Si,Si,Si,Si,No,Si,No,No,Si,No,Vómito,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
03/07/2025,Ana María,Valle del Cauca,Bolívar,CoV-BUENOS AIRES,Carrera 8#10-05,1110475,3475785736,0000-00-00,Naciente,Es mas Sencillo,2,4,Hijo,Solo consumo,No nota cambios,Un poco turbia,Mala,Si,Si,Si,No,25000,21,Jabon,Jabon,Si,No,Si,No,Si,No,Si,Si,No,Si,No,No,Si,Hepatitis,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
08/06/2025,Laura Gómez,Valle del Cauca,Bolívar,CoV-LA PLAYA,Mz 3 Casa 7,1110483,3443622261,0000-00-00,Pozo,Siempre ha sido así,8,1,Mama,Doméstico y consumo,Es mas limpio el agua,Un poco turbia,Regular,No,Si,No,Si,70000,33,Jabon,Detergente,Si,No,Si,Si,No,Si,Si,Si,Si,No,No,No,No,Diarrea,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
0000-00-00,Carlos Pérez,Valle del Cauca,Bolívar,CoV-EL BOSQUE,Calle 12#03-21,1110489,3393529311,04/10/2025,Naciente,Es más económica,4,1,Hijo,Riego y consumo,Hay menos sedimentos,Un poco turbia,Regular,No,Si,Si,No,50000,36,Jabon,Jabon,Si,No,Si,Si,Si,No,No,No,Si,No,Si,No,No,Vómito,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
07/12/2025,Ana María,Valle del Cauca,Bolívar,CoV-EL JARDÍN,Mz 3 Casa 7,1110494,3667071992,03/05/2025,Pozo,Siempre ha sido así,5,4,Hijo,Solo consumo,No nota cambios,Clara y buena,Mala,Si,No,Si,Si,35000,55,Jabon,Jabon,Si,No,Si,No,No,No,No,No,No,Si,Si,Si,No,Vómito,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"
04/12/2025,Laura Gómez,Valle del Cauca,Bolívar,CoV-EL JARDÍN,Carrera 8#10-05,1110499,3948775167,0000-00-00,Grifo,Es mas Sencillo,7,4,Hijo,Solo consumo,Es mas limpio el agua,Clara,Buena,No,Si,Si,No,55000,21,Jabon,Detergente,No,No,No,Si,No,No,No,No,No,Si,No,No,No,Diarrea,1.7628E+12,37.4219983,5,0,26/11/2025 19:39,"https://www.google.com/maps/?q=37.4219983,5.00"

